id,seq_0,seq_1
1,"The cat chased the mouse.","The mouse was chased by the cat."
2,"The sky is blue.","The grass is green."
3,"The dog barked loudly.","The canine vocalized noisily."
4,"She likes to eat pizza.","Pizza is her favorite food."
5,"The book is on the table.","The book is located atop the table."
6,"The weather is hot today.","It's a scorching day."
7,"She is a talented artist.","She has a knack for painting."
8,"The movie was boring.","The film was dull."
9,"He is a tall man.","He has a towering height."
10,"The party was fun.","The celebration was enjoyable."